blind_id,pmid,model,stratum,codex_verdict,verdict,substantive,max_severity,E,direction,E_normalization_status
HR-0069,22087841,aliyun/qwen3.7-max,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0070,20878324,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,yes,2,E05,omission,parsed_declared_codes
HR-0071,25193528,aliyun/qwen3.7-max,random_10pct,no_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0072,36731865,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,yes,2,E04,alteration,parsed_declared_codes
HR-0073,29203650,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0074,23520170,aliyun/deepseek-v4-pro,census_sev_ge3,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0075,22178250,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0076,42299478,aliyun/qwen3.7-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0077,41663160,aliyun/qwen3.7-max,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0078,31006009,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0079,24756987,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0080,21996202,aliyun/glm-5.2,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0081,16785337,aliyun/qwen3.8-max,random_10pct,strict_contract_error,strict_contract_error,no,1,E08,alteration,parsed_declared_codes
HR-0082,26861417,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0083,16830712,aliyun/kimi-k2.6,random_10pct,strict_contract_error,strict_contract_error,yes,2,"E03,E05","alteration,omission",parsed_declared_codes
HR-0084,21112921,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0085,21503747,aliyun/qwen3.8-max,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0086,25135724,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0087,27826741,aliyun/glm-5.2,random_10pct,strict_contract_error,strict_contract_error,no,1,E05,omission,parsed_declared_codes
HR-0088,24403474,aliyun/qwen3.7-max,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0089,25933722,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0090,28502131,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0091,42204710,aliyun/glm-5.2,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0092,23445569,aliyun/qwen3.7-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0093,16773960,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0094,36670229,aliyun/deepseek-v4-flash,random_10pct,no_error,strict_contract_error,no,1,E05,omission,parsed_declared_codes
HR-0095,32228577,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0096,32790581,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,no,1,E03,alteration,parsed_declared_codes
HR-0097,24290868,aliyun/deepseek-v4-flash,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0098,23082211,aliyun/kimi-k2.6,random_10pct,strict_contract_error,strict_contract_error,yes,2,E05,omission,parsed_declared_codes
HR-0099,34965524,aliyun/glm-5.2,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0100,26743983,aliyun/qwen3.7-max,random_10pct,strict_contract_error,strict_contract_error,yes,1,"E06,E10","binding,fabrication",parsed_declared_codes
HR-0101,35944871,aliyun/deepseek-v4-pro,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0102,22200915,aliyun/kimi-k2.6,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0103,39443545,aliyun/deepseek-v4-flash,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0104,21115620,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0105,24548580,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0106,33323473,aliyun/glm-5.2,random_10pct,strict_contract_error,strict_contract_error,no,1,E10,binding,parsed_declared_codes
HR-0107,21078068,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,no,2,E05,omission,parsed_declared_codes
HR-0108,26967543,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0109,19486788,aliyun/glm-5.2,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0110,18511439,aliyun/kimi-k2.6,random_10pct,strict_contract_error,strict_contract_error,yes,1,E05,omission,parsed_declared_codes
HR-0111,33422435,aliyun/qwen3.7-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0112,38310735,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0113,18216764,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0114,18341490,aliyun/deepseek-v4-flash,census_sev_ge3,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0115,20733445,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0116,19033371,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,yes,1,E05,omission,parsed_declared_codes
HR-0117,24008607,aliyun/glm-5.2,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0118,22108858,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0119,27722893,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0120,19336266,aliyun/kimi-k2.6,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0121,17030976,aliyun/kimi-k2.6,random_10pct,strict_contract_error,strict_contract_error,no,1,E10,binding,parsed_declared_codes
HR-0122,42507445,aliyun/glm-5.2,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0123,20631261,aliyun/kimi-k2.6,random_10pct,strict_contract_error,strict_contract_error,yes,1,E09,alteration,parsed_declared_codes
HR-0124,25781527,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0125,33685807,aliyun/deepseek-v4-pro,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0126,17536644,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0127,28552881,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0128,24582071,aliyun/kimi-k2.6,random_10pct,strict_contract_error,strict_contract_error,yes,2,E10,binding,parsed_declared_codes
HR-0129,30451582,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0130,19813774,aliyun/deepseek-v4-pro,census_sev_ge3,strict_contract_error,strict_contract_error,no,1,E07,alteration,parsed_declared_codes
HR-0131,24156628,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0132,24902022,aliyun/qwen3.8-max,random_10pct,strict_contract_error,strict_contract_error,yes,2,E01,alteration,parsed_declared_codes
HR-0133,20356594,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0134,19707112,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,yes,1,"E05,E06","fabrication,omission",parsed_declared_codes
HR-0135,19225206,aliyun/deepseek-v4-pro,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0136,26402643,aliyun/glm-5.2,random_10pct,strict_contract_error,strict_contract_error,no,1,E05,omission,parsed_declared_codes
HR-0137,19812061,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,yes,1,E05,omission,parsed_declared_codes
HR-0138,24801452,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,yes,2,E10,binding,parsed_declared_codes
HR-0139,27593528,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,no,1,E05,omission,parsed_declared_codes
HR-0140,20955266,aliyun/kimi-k2.6,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0141,26071404,aliyun/qwen3.7-max,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0142,41694524,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0143,22804749,aliyun/deepseek-v4-flash,census_sev_ge3,strict_contract_error,strict_contract_error,yes,2,E07,alteration,parsed_declared_codes
HR-0144,19100399,aliyun/kimi-k2.6,census_sev_ge3,strict_contract_error,strict_contract_error,yes,3,E06,fabrication,parsed_declared_codes
HR-0145,30012214,aliyun/qwen3.7-max,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0146,27550386,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0147,18084338,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0148,20007516,aliyun/qwen3.7-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0149,30172196,aliyun/glm-5.2,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0150,18166826,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0151,33728347,aliyun/qwen3.7-max,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0152,40133853,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,yes,2,"E06,E10","binding,fabrication",parsed_declared_codes
HR-0153,31240879,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0154,26610865,aliyun/kimi-k2.6,random_10pct,strict_contract_error,strict_contract_error,yes,1,E10,binding,parsed_declared_codes
HR-0155,30443983,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0156,23788756,aliyun/deepseek-v4-pro,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0157,37057787,aliyun/deepseek-v4-pro,census_sev_ge3,strict_contract_error,strict_contract_error,no,1,E07,alteration,parsed_declared_codes
HR-0158,27255222,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0159,16944256,aliyun/deepseek-v4-flash,census_sev_ge3,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0160,28325614,aliyun/qwen3.7-max,random_10pct,strict_contract_error,strict_contract_error,no,1,E05,omission,parsed_declared_codes
HR-0161,19390517,aliyun/deepseek-v4-flash,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0162,16769384,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,no,1,E05,omission,parsed_declared_codes
HR-0163,42126929,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0164,26415325,aliyun/qwen3.7-max,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0165,41007605,aliyun/qwen3.8-max,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0166,16533938,aliyun/kimi-k2.6,random_10pct,no_error,strict_contract_error,no,1,"E05,E08","alteration,omission",parsed_declared_codes
HR-0167,21087229,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0168,18336730,aliyun/glm-5.2,random_10pct,strict_contract_error,strict_contract_error,yes,2,E08,alteration,parsed_declared_codes
HR-0169,39834217,aliyun/deepseek-v4-flash,census_sev_ge3,strict_contract_error,strict_contract_error,yes,2,E06,fabrication,parsed_declared_codes
HR-0170,35383798,aliyun/deepseek-v4-pro,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0171,36331692,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,no,1,E05,omission,parsed_declared_codes
HR-0172,24395922,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0173,27187608,aliyun/qwen3.7-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0174,28780512,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,yes,1,"E05,E06,E10","binding,fabrication,omission",parsed_declared_codes
HR-0175,28847886,aliyun/deepseek-v4-flash,random_10pct,no_error,strict_contract_error,no,1,E05,omission,parsed_declared_codes
HR-0176,36441433,aliyun/qwen3.8-max,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0177,37591029,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0178,36053809,aliyun/glm-5.2,random_10pct,strict_contract_error,strict_contract_error,no,1,E05,omission,parsed_declared_codes
HR-0179,24296447,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,yes,1,E05,omission,parsed_declared_codes
HR-0180,38631235,aliyun/deepseek-v4-pro,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0181,35421008,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0182,36053809,aliyun/deepseek-v4-pro,random_10pct,no_error,strict_contract_error,no,1,E07,alteration,parsed_declared_codes
HR-0183,40908322,aliyun/deepseek-v4-pro,census_sev_ge3,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0184,29043600,aliyun/deepseek-v4-pro,random_10pct,no_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0185,20007516,aliyun/glm-5.2,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0186,22249647,aliyun/deepseek-v4-flash,census_sev_ge3,strict_contract_error,strict_contract_error,no,1,E10,binding,parsed_declared_codes
HR-0187,20368304,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0188,21079397,aliyun/kimi-k2.6,random_10pct,strict_contract_error,strict_contract_error,no,2,E06,fabrication,parsed_declared_codes
HR-0189,26336025,aliyun/glm-5.2,census_sev_ge3,strict_contract_error,strict_contract_error,no,2,E07,alteration,parsed_declared_codes
HR-0190,19067404,aliyun/deepseek-v4-flash,census_sev_ge3,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0191,31308208,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0192,31866239,aliyun/deepseek-v4-pro,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0193,20828851,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0194,18511439,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0195,31139182,aliyun/glm-5.2,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0196,23611640,aliyun/qwen3.7-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0197,23305454,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0198,16989706,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0199,35457582,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0200,18295412,aliyun/deepseek-v4-pro,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0201,23288160,aliyun/kimi-k2.6,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0202,39090195,aliyun/kimi-k2.6,random_10pct,strict_contract_error,strict_contract_error,no,1,"E05,E06","fabrication,omission",parsed_declared_codes
HR-0203,41081106,aliyun/deepseek-v4-flash,census_sev_ge3,strict_contract_error,strict_contract_error,no,1,E09,alteration,parsed_declared_codes
HR-0204,21722610,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0205,33728347,aliyun/kimi-k2.6,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0206,34529554,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0207,42469991,aliyun/deepseek-v4-pro,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0208,25636811,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0209,41913103,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0210,19309724,aliyun/glm-5.2,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0211,38671217,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0212,16932830,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,no,1,E05,omission,parsed_declared_codes
HR-0213,32883514,aliyun/glm-5.2,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0214,17691593,aliyun/qwen3.7-max,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0215,26171883,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,no,1,"E06,E10","fabrication,binding",parsed_declared_codes
HR-0216,34560136,aliyun/qwen3.7-max,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0217,36048745,aliyun/deepseek-v4-pro,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0218,42512870,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0219,40982282,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,yes,2,"E05,E06,E10","fabrication,omission,binding",parsed_declared_codes
HR-0220,24448756,aliyun/qwen3.7-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0221,30971773,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0222,33336475,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0223,18091416,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0224,23139259,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0225,31861969,aliyun/kimi-k2.6,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0226,36178302,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0227,27143107,aliyun/deepseek-v4-flash,census_sev_ge3,strict_contract_error,strict_contract_error,yes,2,E06,fabrication,parsed_declared_codes
HR-0228,26743983,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,yes,2,E10,binding,parsed_declared_codes
HR-0229,41643052,aliyun/qwen3.8-max,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0230,16549139,aliyun/kimi-k2.6,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
